archivo,enlace_pixabay,autor,notas
acuerdo_negocio_mujeres.jpg,https://pixabay.com/es/photos/apret%C3%B3n-de-manos-mujeres-liderazgo-8047503/,styles66,
apreton_manos_hombres_reunion.jpg,https://pixabay.com/es/photos/apret%C3%B3n-de-manos-traje-de-hombres-4229701/,geralt,
chica_no_entiende.jpg,https://pixabay.com/es/photos/confundido-mujer-duda-ni%C3%B1a-2385799/,RobinHiggins,
grupo_mirando_movil.jpg,https://pixabay.com/photos/pokemon-pokemongo-friends-school-1548194/,natureaddict,
hombre_señala_pantalla_mujer_reunion.jpg,https://pixabay.com/photos/office-discussion-teamwork-10386437/,erwinbosman,
hombre_sonriente.jpg,https://pixabay.com/es/photos/empresario-sonrisa-retrato-hombre-5791566/,ShaneRoybal,
mujer_en_reunion.jpg,https://pixabay.com/es/photos/trabajo-en-equipo-reuni%C3%B3n-oficina-10425775/,erwinbosman,
mujer_mirando_movil.jpg,https://pixabay.com/photos/staff-woman-young-looking-7317837/,Surprising_Media,
mujer_negocios_hablando.jpg,https://pixabay.com/es/photos/altavoz-ense%C3%B1ando-formaci%C3%B3n-negocio-1596210/,pplbuilder,
mujer_partiendose_risa.jpg,https://pixabay.com/es/photos/hilarante-mujer-risa-sonrisa-2362142/,RobinHiggins,
mujer_sonriente.jpg,https://pixabay.com/es/photos/sonriente-corporativo-dama-2362136/,RobinHiggins,
mujeres_discusión.jpg,https://pixabay.com/photos/women-chatting-business-discussion-5802098/,user1505195587,Sustituida por conversación de negocios; no encontré una discusión/enfado libre de derechos que encajara
pareja_riendose_complice.jpg,https://pixabay.com/photos/couple-laughing-happy-people-598315/,SnapwireSnaps,
pareja_sonriente_mirando_tablet.jpg,https://pixabay.com/photos/man-woman-office-computer-team-10349672/,erwinbosman,Sustituida por pareja mirando pantalla/portátil; no encontré pareja+tablet libre de derechos
perro_no_entiende.jpg,https://pixabay.com/es/photos/perro-confundido-preguntarse-7389703/,olinwanan,
